Date,Close/Last,Volume,Open,High,Low
1824,$255.27,40858770,$254.77,$255.65,$253.45
1821,$254.49,147495300,$248.04,$255.00,$245.69
1820,$249.79,60882260,$247.50,$252.00,$247.0949
1819,$248.05,56774100,$252.16,$254.28,$247.74
1818,$253.48,51356360,$250.08,$253.83,$249.78
1817,$251.04,51694750,$247.99,$251.38,$247.65
1814,$248.13,33155290,$247.815,$249.2902,$246.24
1813,$247.96,32777530,$246.89,$248.74,$245.68
1812,$246.49,45205810,$247.96,$250.80,$246.2601
1811,$247.77,36914810,$246.89,$248.21,$245.34
1810,$246.75,44649230,$241.83,$247.24,$241.75
1807,$242.84,36870620,$242.905,$244.63,$242.08
1806,$243.04,40033880,$243.99,$244.54,$242.13
1805,$243.01,44383940,$242.87,$244.11,$241.25
1804,$242.65,38861020,$239.81,$242.76,$238.90
1803,$239.59,48137100,$237.27,$240.79,$237.16
1800,$237.33,28481380,$234.805,$237.81,$233.97
1798,$234.93,33498440,$234.465,$235.69,$233.8101
1797,$235.06,45986190,$233.33,$235.57,$233.33
1796,$232.87,90152830,$231.46,$233.245,$229.74
1793,$229.87,38168250,$228.06,$230.7199,$228.06
1792,$228.52,42108330,$228.88,$230.155,$225.7103
1791,$229.00,35169570,$228.06,$229.93,$225.89
1790,$228.28,36211770,$226.98,$230.16,$226.66
1789,$228.02,44686020,$225.25,$229.74,$225.17
1786,$225.00,47923700,$226.40,$226.92,$224.27
1785,$228.22,44923940,$225.02,$228.87,$225.00
1784,$225.12,48566220,$224.01,$226.65,$222.76
1783,$224.23,40398300,$224.55,$225.59,$223.355
1782,$224.23,42005600,$225.00,$225.70,$221.50
1779,$226.96,38328820,$227.17,$228.66,$226.405
1778,$227.48,42137690,$224.625,$227.875,$224.57
1777,$222.72,54561120,$222.61,$226.065,$221.19
1776,$223.45,28111340,$221.795,$223.95,$221.14
1775,$222.01,44944470,$220.99,$222.79,$219.71
1772,$222.91,65276740,$220.965,$225.35,$220.27
1771,$225.91,64370090,$229.34,$229.83,$225.37
1770,$230.10,47070910,$232.61,$233.47,$229.55
1769,$233.67,35417250,$233.10,$234.325,$232.32
1768,$233.40,36087130,$233.32,$234.73,$232.55
1765,$231.41,38802300,$229.74,$233.22,$229.57
1764,$230.57,31109500,$229.98,$230.82,$228.41
1763,$230.76,52286980,$234.08,$235.144,$227.76
1762,$235.86,38846580,$233.885,$236.22,$232.60
1761,$236.48,36254470,$234.45,$236.85,$234.45
1758,$235.00,46431470,$236.18,$236.18,$234.01
1757,$232.15,32993810,$233.43,$233.85,$230.52
1756,$231.78,34082240,$231.60,$232.12,$229.84
1755,$233.85,64751370,$233.61,$237.49,$232.37
1754,$231.30,39882090,$228.70,$231.73,$228.60
1751,$227.55,31759190,$229.30,$229.41,$227.34
1750,$229.04,28183540,$227.78,$229.50,$227.17
1749,$229.54,33591090,$225.23,$229.75,$224.83
1748,$225.77,31855690,$224.30,$225.98,$223.25
1747,$221.69,39505350,$224.50,$225.69,$221.33
1744,$226.80,37345100,$227.90,$228.00,$224.13
1743,$225.67,34044160,$225.14,$226.805,$223.32
1742,$226.78,32880610,$225.89,$227.37,$223.02
1741,$226.21,63285050,$229.52,$229.65,$223.74
1740,$233.00,54793390,$230.04,$233.00,$229.65
1737,$227.79,34025970,$228.46,$229.52,$227.30
1736,$227.52,36636710,$227.30,$228.50,$225.41
1735,$226.37,42308720,$224.93,$227.29,$224.02
1734,$227.37,43556070,$228.645,$229.35,$225.73
1733,$226.47,54146020,$227.34,$229.45,$225.81
1730,$228.20,318679900,$229.97,$233.09,$227.62
1729,$228.87,66781320,$224.99,$229.82,$224.63
1728,$220.69,59894930,$217.55,$222.71,$217.54
1727,$216.79,45519340,$215.75,$216.90,$214.50
1726,$216.32,59357430,$216.54,$217.22,$213.92
1723,$222.50,36766620,$223.58,$224.04,$221.91
1722,$222.77,37498230,$222.50,$223.55,$219.82
1721,$222.66,44587070,$221.455,$223.09,$217.89
1720,$220.11,51591030,$218.92,$221.48,$216.73
1719,$220.91,67179970,$220.82,$221.27,$216.71
1716,$220.82,48423010,$223.95,$225.24,$219.77
1715,$222.38,36615400,$221.625,$225.48,$221.52
1714,$220.85,43840200,$221.66,$221.78,$217.48
1713,$222.77,50190570,$228.55,$229.00,$221.17
1709,$229.00,52990770,$230.19,$230.40,$227.48
1708,$229.79,51906300,$230.10,$232.92,$228.88
1707,$226.49,38052170,$227.92,$229.86,$225.68
1706,$228.03,35934560,$225.995,$228.85,$224.89
1705,$227.18,30602210,$226.76,$227.28,$223.8905
1702,$226.84,38677250,$225.659,$228.22,$224.33
1701,$224.53,43695320,$227.79,$228.34,$223.90
1700,$226.40,34765480,$226.52,$227.98,$225.05
1699,$226.51,30299030,$225.77,$227.17,$225.45
1698,$225.89,40687810,$225.72,$225.99,$223.04
1695,$226.05,44340240,$223.92,$226.8271,$223.6501
1694,$224.72,46414010,$224.60,$225.35,$222.76
1693,$221.72,41960570,$220.57,$223.03,$219.70
1692,$221.27,44155330,$219.01,$221.89,$219.01
1691,$217.53,38028090,$216.07,$219.5099,$215.60
1688,$216.24,42201650,$212.10,$216.78,$211.97
1687,$213.31,47161150,$213.11,$214.20,$208.83
1686,$209.82,63516420,$206.90,$213.64,$206.39
1685,$207.23,69660490,$205.30,$209.99,$201.07
1684,$209.27,119548600,$199.09,$213.50,$196.00
1681,$219.86,105568600,$219.15,$225.60,$217.71
1680,$218.36,62501000,$224.37,$224.48,$217.02
1679,$222.08,50036260,$221.44,$223.82,$220.63
1678,$218.80,41643840,$219.19,$220.325,$216.12
1677,$218.24,36311780,$216.96,$219.30,$215.75
1674,$217.96,41601350,$218.70,$219.49,$216.01
1673,$217.49,51391200,$218.93,$220.85,$214.62
1672,$218.54,61777580,$224.00,$224.80,$217.13
1671,$225.01,39960260,$224.365,$226.94,$222.68
1670,$223.96,48201840,$227.01,$227.78,$223.09
1667,$224.31,49151450,$224.82,$226.80,$223.275
1666,$224.18,66034590,$230.28,$230.44,$222.27
1665,$228.88,57345880,$229.45,$231.4599,$226.64
1664,$234.82,43234280,$235.00,$236.27,$232.33
1663,$234.40,62631250,$236.48,$237.23,$233.09
1660,$230.54,53046530,$228.92,$232.64,$228.68
1659,$227.57,64710620,$231.39,$232.39,$225.77
1658,$232.98,62627690,$229.30,$233.08,$229.25
1657,$228.68,48169820,$227.93,$229.40,$226.3721
1656,$227.82,59085860,$227.09,$227.85,$223.25
1653,$226.34,60412410,$221.65,$226.45,$221.65
1651,$221.55,37369800,$220.00,$221.55,$219.03
1650,$220.27,58046180,$216.15,$220.38,$215.10
1649,$216.75,60402930,$212.09,$217.51,$211.92
1646,$210.62,82542720,$215.77,$216.07,$210.30
1645,$214.10,49772710,$214.69,$215.7395,$212.35
1644,$213.25,66213190,$211.50,$214.86,$210.64
1643,$209.07,56713870,$209.15,$211.38,$208.61
1642,$208.14,80727010,$207.72,$212.70,$206.59
1639,$207.49,246421400,$210.39,$211.89,$207.11
1638,$209.68,86172450,$213.93,$214.24,$208.85
1636,$214.29,79943250,$217.59,$218.63,$213.00
1635,$216.67,93728300,$213.37,$218.95,$212.72
1632,$212.49,70122750,$213.85,$215.17,$211.30
1631,$214.24,97862730,$214.74,$216.75,$211.60
1630,$213.07,198134300,$207.37,$220.20,$206.90
1629,$207.15,172373300,$193.65,$207.16,$193.63
1628,$193.12,97262080,$196.90,$197.30,$192.15
1625,$196.89,53103910,$194.65,$196.94,$194.14
1624,$194.48,41181750,$195.685,$196.50,$194.17
1623,$195.87,54156790,$195.40,$196.90,$194.87
1622,$194.35,47471450,$194.635,$195.32,$193.0342
1621,$194.03,50080540,$192.90,$194.99,$192.52
1618,$192.25,75158280,$191.44,$192.57,$189.91
1617,$191.29,49947940,$190.76,$192.18,$190.63
1616,$190.29,53068020,$189.61,$192.247,$189.51
1615,$189.99,52280050,$191.51,$193.00,$189.10
1611,$189.98,36326980,$188.82,$190.58,$188.0404
1610,$186.88,51005920,$190.98,$191.00,$186.625
1609,$190.90,34648550,$192.265,$192.8231,$190.27
1608,$192.35,42309400,$191.09,$192.73,$190.9201
1607,$191.04,44361280,$189.325,$191.9199,$189.01
1604,$189.87,41282930,$189.51,$190.81,$189.18
1603,$189.84,52845230,$190.47,$191.095,$189.6601
1602,$189.72,70399990,$187.91,$190.65,$187.37
1601,$187.43,52393620,$187.51,$188.30,$186.29
1600,$186.28,72044810,$185.435,$187.10,$184.62
1597,$183.05,50759500,$184.90,$185.09,$182.13
1596,$184.57,48982970,$182.56,$184.66,$182.11
1595,$182.74,45057090,$182.85,$183.07,$181.45
1594,$182.40,77305770,$183.45,$184.90,$181.32
1593,$181.71,78569670,$182.354,$184.20,$180.42
1590,$183.38,163224100,$186.645,$187.00,$182.66
1589,$173.03,94214920,$172.51,$173.415,$170.89
1588,$169.30,50383150,$169.58,$172.705,$169.11
1587,$170.33,65934780,$173.33,$174.99,$170.00
1586,$173.50,68169420,$173.37,$176.03,$173.10
1583,$169.30,44838350,$169.88,$171.34,$169.18
1582,$169.89,50558330,$169.525,$170.61,$168.1511
1581,$169.02,48251840,$166.54,$169.30,$166.21
1580,$166.90,49537760,$165.35,$167.05,$164.92
1579,$165.84,48116440,$165.515,$167.26,$164.77
1576,$165.00,68149380,$166.21,$166.40,$164.075
1575,$167.04,43122900,$168.03,$168.64,$166.55
1574,$168.00,50901210,$169.61,$170.65,$168.00
1573,$169.38,73711240,$171.75,$173.76,$168.27
1572,$172.69,73531770,$175.36,$176.63,$172.50
1569,$176.55,101670900,$174.26,$178.36,$174.21
1568,$175.04,91070280,$168.34,$175.46,$168.16
1567,$167.78,49709340,$168.80,$169.09,$167.11
1566,$169.67,42451210,$168.70,$170.08,$168.35
1565,$168.45,37425510,$169.03,$169.20,$168.24
1562,$169.58,42104830,$169.59,$170.39,$168.95
1561,$168.82,53704390,$170.29,$171.92,$168.82
1560,$169.65,47691720,$168.79,$170.68,$168.58
1559,$168.84,49329480,$169.08,$169.34,$168.2302
1558,$170.03,46240500,$171.19,$171.25,$169.475
1554,$171.48,65672690,$171.75,$172.23,$170.51
1553,$173.31,60273270,$170.41,$173.60,$170.11
1552,$169.71,57388450,$170.00,$171.42,$169.58
1551,$170.85,54288330,$170.565,$171.94,$169.45
1548,$172.28,71160140,$171.76,$173.05,$170.06
1547,$171.37,106181300,$177.05,$177.49,$170.84
1546,$178.67,53423100,$175.72,$178.67,$175.09
1545,$176.08,55215240,$174.34,$176.605,$173.03
1544,$173.72,75604180,$175.57,$177.71,$173.52
1541,$172.62,121752700,$171.17,$172.62,$170.285
1540,$173.00,72913510,$172.91,$174.3078,$172.05
1539,$171.13,52488690,$172.77,$173.185,$170.76
1538,$173.23,59825370,$173.15,$174.03,$171.01
1537,$172.75,60139470,$172.94,$174.38,$172.05
1534,$170.73,76267040,$169.00,$173.70,$168.94
1533,$169.00,71765060,$169.15,$170.73,$168.49
1532,$169.12,68587710,$171.06,$171.24,$168.68
1531,$170.12,95132360,$170.76,$172.04,$169.62
1530,$175.10,81510100,$176.15,$176.90,$173.79
1527,$179.66,73563080,$179.55,$180.53,$177.38
1526,$180.75,136682600,$181.27,$182.57,$179.53
1525,$181.42,48953940,$182.51,$183.12,$180.13
